City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sao Filipe,CV,2021-12-05 21:14:14,14.8961,-24.4956,297.48,72,71,5.34
1,Jishu,CN,2021-12-05 21:14:15,44.3167,126.8,272.86,93,100,4.62
2,Avarua,CK,2021-12-05 21:14:15,-21.2078,-159.775,300.18,89,40,2.57
3,Bambous Virieux,MU,2021-12-05 21:14:15,-20.3428,57.7575,298.83,78,40,3.6
4,Muros,ES,2021-12-05 21:14:15,42.7762,-9.0603,285.5,91,56,3.32
5,Rio Grande,BR,2021-12-05 21:14:16,-32.035,-52.0986,296.21,73,22,5.99
6,Arraial Do Cabo,BR,2021-12-05 21:14:16,-22.9661,-42.0278,298.07,83,0,9.77
7,Mahebourg,MU,2021-12-05 21:14:17,-20.4081,57.7,298.85,78,40,3.6
8,Pevek,RU,2021-12-05 21:14:17,69.7008,170.3133,250.83,97,100,5.58
9,Punta Arenas,CL,2021-12-05 21:09:27,-53.15,-70.9167,286.21,44,40,12.35
10,Vao,NC,2021-12-05 21:14:17,-22.6667,167.4833,296.94,84,100,7.81
11,Carinhanha,BR,2021-12-05 21:14:17,-14.3047,-43.765,297.78,78,16,1.39
12,Bluff,NZ,2021-12-05 21:14:18,-46.6,168.3333,285.26,50,88,5.35
13,Ushuaia,AR,2021-12-05 21:13:30,-54.8,-68.3,280.96,71,75,11.32
14,Oktyabrskiy,RU,2021-12-05 21:14:18,54.4815,53.471,269.63,92,100,1.81
15,Bairiki,KI,2021-12-05 21:14:18,1.3292,172.9752,302.15,70,75,7.72
16,Samarai,PG,2021-12-05 21:14:18,-10.6167,150.6667,300.79,77,99,3.14
17,Hobart,AU,2021-12-05 21:14:19,-42.8794,147.3294,288.77,61,40,1.34
18,Adre,TD,2021-12-05 21:14:10,13.4667,22.2,295.99,23,81,5.85
19,Ayan,RU,2021-12-05 21:14:19,56.45,138.1667,267.48,65,99,1.89
20,Atuona,PF,2021-12-05 21:14:19,-9.8,-139.0333,299.09,73,6,8.32
21,Busselton,AU,2021-12-05 21:14:19,-33.65,115.3333,288.73,75,62,7.03
22,La Ferte-Bernard,FR,2021-12-05 21:14:20,48.1863,0.6536,282.88,78,100,6.51
23,Saint-Philippe,RE,2021-12-05 21:14:20,-21.3585,55.7679,297.9,81,37,4.69
24,Rikitea,PF,2021-12-05 21:13:27,-23.1203,-134.9692,297.68,74,98,3.68
25,Pisco,PE,2021-12-05 21:10:40,-13.7,-76.2167,296.18,68,75,7.72
26,Sistranda,NO,2021-12-05 21:10:42,63.7256,8.834,268.09,69,75,6.74
27,Victoria,HK,2021-12-05 21:11:43,22.2855,114.1577,291.11,65,52,0.89
28,Talnakh,RU,2021-12-05 21:14:20,69.4865,88.3972,244.93,99,100,6.22
29,Mataura,NZ,2021-12-05 21:14:21,-46.1927,168.8643,285.08,59,98,1.98
30,Tiksi,RU,2021-12-05 21:14:21,71.6872,128.8694,247.34,91,100,2.94
31,Hermanus,ZA,2021-12-05 21:14:21,-34.4187,19.2345,289.71,94,100,5.27
32,Nikolskoye,RU,2021-12-05 21:14:21,59.7035,30.7861,255.38,97,9,2.15
33,Codrington,AU,2021-12-05 21:14:22,-38.2667,141.9667,287.0,65,99,2.98
34,Albany,US,2021-12-05 21:14:22,42.6001,-73.9662,277.91,54,96,2.01
35,Kruisfontein,ZA,2021-12-05 21:14:22,-34.0033,24.7314,290.86,87,98,3.56
36,Tuktoyaktuk,CA,2021-12-05 21:14:22,69.4541,-133.0374,245.15,76,40,3.09
37,Tchibanga,GA,2021-12-05 21:14:23,-2.85,11.0333,295.93,98,100,1.32
38,Kushiro,JP,2021-12-05 21:14:23,42.975,144.3747,274.22,59,0,2.8
39,Heishan,CN,2021-12-05 21:14:23,41.6892,122.1128,274.54,55,100,4.91
40,East London,ZA,2021-12-05 21:14:24,-33.0153,27.9116,293.96,97,100,2.19
41,Sitka,US,2021-12-05 21:13:32,57.0531,-135.33,275.09,69,90,5.66
42,Vostok,RU,2021-12-05 21:14:24,46.4856,135.8833,263.57,92,27,2.63
43,Isangel,VU,2021-12-05 21:14:24,-19.55,169.2667,300.26,72,35,4.55
44,Clyde River,CA,2021-12-05 21:14:24,70.4692,-68.5914,261.28,85,100,13.89
45,Yellowknife,CA,2021-12-05 21:09:52,62.456,-114.3525,246.71,88,25,2.67
46,Butaritari,KI,2021-12-05 21:14:25,3.0707,172.7902,300.37,84,100,6.1
47,Georgetown,MY,2021-12-05 21:14:25,5.4112,100.3354,298.65,76,20,4.12
48,Batagay-Alyta,RU,2021-12-05 21:14:25,67.8006,130.4114,243.6,98,100,1.26
49,Cervo,ES,2021-12-05 21:14:26,43.6702,-7.4101,285.35,83,99,6.16
50,Vaini,TO,2021-12-05 21:14:26,-21.2,-175.2,300.24,78,75,5.14
51,Bengkulu,ID,2021-12-05 21:14:26,-3.8004,102.2655,296.97,90,95,3.34
52,Saldanha,ZA,2021-12-05 21:14:26,-33.0117,17.9442,289.2,93,13,7.43
53,Lompoc,US,2021-12-05 21:14:27,34.6391,-120.4579,299.31,51,1,8.23
54,Antalaha,MG,2021-12-05 21:14:27,-14.9003,50.2788,296.48,89,8,2.94
55,Qobustan,AZ,2021-12-05 21:14:27,40.0824,49.412,281.21,46,100,2.11
56,Bathsheba,BB,2021-12-05 21:14:28,13.2167,-59.5167,301.49,65,40,9.26
57,Nanortalik,GL,2021-12-05 21:14:28,60.1432,-45.2371,270.37,88,93,15.23
58,Cockburn Town,TC,2021-12-05 21:14:28,21.4612,-71.1419,300.16,76,48,8.98
59,Cape Town,ZA,2021-12-05 21:14:28,-33.9258,18.4232,289.87,90,75,1.34
60,Luderitz,NA,2021-12-05 21:14:29,-26.6481,15.1594,289.65,86,0,5.22
61,Carutapera,BR,2021-12-05 21:14:29,-1.195,-46.02,300.2,79,12,4.05
62,Hilo,US,2021-12-05 21:10:11,19.7297,-155.09,297.0,93,90,5.14
63,Wanning,CN,2021-12-05 21:14:29,18.8003,110.3967,289.88,73,60,4.08
64,Novobirilyussy,RU,2021-12-05 21:14:30,56.9514,90.6661,272.32,90,100,5.97
65,Kailua,US,2021-12-05 21:14:30,21.4022,-157.7394,297.14,83,49,6.95
66,Taree,AU,2021-12-05 21:14:30,-31.9,152.4667,291.52,80,100,0.31
67,Cidreira,BR,2021-12-05 21:14:30,-30.1811,-50.2056,294.67,86,40,6.73
68,Marsh Harbour,BS,2021-12-05 21:14:31,26.5412,-77.0636,298.65,72,0,6.1
69,Mar Del Plata,AR,2021-12-05 21:14:31,-38.0023,-57.5575,290.86,82,15,6.71
70,Bredasdorp,ZA,2021-12-05 21:14:31,-34.5322,20.0403,289.77,94,100,6.69
71,Arlit,NE,2021-12-05 21:14:31,18.7369,7.3853,294.33,16,2,3.81
72,Thompson,CA,2021-12-05 21:14:32,55.7435,-97.8558,247.24,70,20,5.14
73,Puerto Ayora,EC,2021-12-05 21:14:32,-0.7393,-90.3518,298.13,82,61,4.32
74,Margate,GB,2021-12-05 21:14:32,51.3813,1.3862,279.09,86,97,3.58
75,Khanpur,PK,2021-12-05 21:14:33,28.6453,70.6567,289.32,25,0,1.98
76,Lithakia,GR,2021-12-05 21:14:33,37.7167,20.8333,286.81,77,91,8.18
77,Daltenganj,IN,2021-12-05 21:14:33,24.0333,84.0667,290.6,75,44,0.32
78,Barranca,PE,2021-12-05 21:14:33,-10.75,-77.7667,293.51,78,100,4.7
79,Najran,SA,2021-12-05 21:14:34,17.4924,44.1277,287.51,36,0,0.39
80,Barrow,US,2021-12-05 21:13:30,71.2906,-156.7887,261.16,72,75,9.26
81,Presidencia Roque Saenz Pena,AR,2021-12-05 21:10:40,-26.7852,-60.4388,307.81,27,7,3.65
82,Henties Bay,NA,2021-12-05 21:14:34,-22.116,14.2845,289.18,87,0,3.42
83,Severomorsk,RU,2021-12-05 21:14:34,69.0689,33.4162,259.41,83,15,10.3
84,Qaanaaq,GL,2021-12-05 21:14:35,77.484,-69.3632,267.24,77,100,3.0
85,La Ronge,CA,2021-12-05 21:14:35,55.1001,-105.2842,249.29,58,20,4.12
86,Saint George,US,2021-12-05 21:14:35,37.1041,-113.5841,295.01,26,1,0.0
87,Liverpool,GB,2021-12-05 21:12:15,53.4106,-2.9779,279.13,88,40,2.06
88,Dwarka,IN,2021-12-05 21:14:35,22.2394,68.9678,296.72,52,0,6.26
89,Glenwood Springs,US,2021-12-05 21:14:36,39.5505,-107.3248,286.6,45,1,5.14
90,Chuy,UY,2021-12-05 21:12:56,-33.6971,-53.4616,293.36,75,96,4.28
91,Ribeira Grande,PT,2021-12-05 21:14:36,38.5167,-28.7,291.37,59,40,4.12
92,Polson,US,2021-12-05 21:14:36,47.6936,-114.1632,273.77,53,13,2.68
93,Yantal,RU,2021-12-05 21:14:37,56.8471,105.2542,268.06,95,100,3.48
94,Ronda,ES,2021-12-05 21:13:53,36.7423,-5.1671,283.0,75,7,2.5
95,Amahai,ID,2021-12-05 21:14:37,-3.3333,128.9167,298.97,83,94,1.53
96,Nemuro,JP,2021-12-05 21:14:37,43.3236,145.575,278.15,69,1,5.28
97,Jacobina,BR,2021-12-05 21:14:38,-11.1806,-40.5183,295.19,88,33,1.69
98,Krasnoselkup,RU,2021-12-05 21:14:38,65.7,82.4667,235.52,100,31,1.46
99,Gizo,SB,2021-12-05 21:14:38,-8.103,156.8419,300.99,76,100,1.05
100,Yurla,RU,2021-12-05 21:14:39,59.3259,54.3223,253.24,98,80,2.31
101,Kaitangata,NZ,2021-12-05 21:14:39,-46.2817,169.8464,285.33,56,100,2.84
102,Hobyo,SO,2021-12-05 21:14:39,5.3505,48.5268,299.11,76,11,7.63
103,Colesberg,ZA,2021-12-05 21:14:39,-30.72,25.0972,290.33,40,83,5.23
104,Guerrero Negro,MX,2021-12-05 21:14:40,27.9769,-114.0611,293.8,64,1,6.81
105,Ilulissat,GL,2021-12-05 21:14:40,69.2167,-51.1,272.16,64,75,7.72
106,San Lorenzo,PY,2021-12-05 21:14:40,-25.3333,-57.5333,305.67,46,0,7.72
107,Gorontalo,ID,2021-12-05 21:14:41,0.5412,123.0595,297.2,95,88,1.44
108,Bethel,US,2021-12-05 21:14:41,41.3712,-73.414,280.4,48,1,0.89
109,Pangnirtung,CA,2021-12-05 21:14:41,66.1451,-65.7125,265.15,93,90,7.2
110,Port Elizabeth,ZA,2021-12-05 21:14:41,-33.918,25.5701,292.09,90,100,3.03
111,Geraldton,AU,2021-12-05 21:14:42,-28.7667,114.6,291.0,88,2,3.6
112,Buritis,BR,2021-12-05 21:14:42,-15.6178,-46.4233,298.44,75,60,1.37
113,Klaksvik,FO,2021-12-05 21:14:42,62.2266,-6.589,275.66,61,28,6.29
114,Kahului,US,2021-12-05 21:14:42,20.8947,-156.47,298.69,77,40,2.06
115,Ca Mau,VN,2021-12-05 21:14:43,9.1769,105.15,294.51,84,99,2.39
116,Tieling,CN,2021-12-05 21:14:43,42.2931,123.8414,273.09,88,100,2.0
117,Luwuk,ID,2021-12-05 21:14:43,-0.9516,122.7875,298.09,92,100,2.33
118,Malindi,KE,2021-12-05 21:14:43,-3.2175,40.1191,299.62,78,100,4.45
119,Amapa,BR,2021-12-05 21:14:44,1.0,-52.0,296.86,97,91,1.23
120,Garowe,SO,2021-12-05 21:14:44,8.4054,48.4845,294.36,63,4,5.02
121,Wajima,JP,2021-12-05 21:14:44,37.4,136.9,281.34,78,96,2.96
122,Kupang,ID,2021-12-05 21:14:44,-10.1667,123.5833,299.89,83,100,3.29
123,Cabo San Lucas,MX,2021-12-05 21:12:42,22.8909,-109.9124,301.77,50,40,4.12
124,New Norfolk,AU,2021-12-05 21:13:27,-42.7826,147.0587,288.57,56,63,0.45
125,Petropavlovsk-Kamchatskiy,RU,2021-12-05 21:13:12,53.0452,158.6483,268.48,58,75,3.0
126,Venustiano Carranza,MX,2021-12-05 21:14:45,19.43,-99.0992,296.56,27,20,2.68
127,Tokonou,GN,2021-12-05 21:14:45,9.65,-9.7833,296.73,27,9,1.54
128,La Baule-Escoublac,FR,2021-12-05 21:14:45,47.2922,-2.364,282.04,83,75,4.63
129,Zhenjiang,CN,2021-12-05 21:12:09,32.2092,119.4342,279.15,90,0,2.23
130,Port Alfred,ZA,2021-12-05 21:14:46,-33.5906,26.891,293.73,95,100,7.0
131,Poum,NC,2021-12-05 21:14:46,-20.2333,164.0167,300.16,76,11,5.91
132,Lukovetskiy,RU,2021-12-05 21:14:46,64.2956,41.9211,259.14,92,8,1.85
133,Fereydun Kenar,IR,2021-12-05 21:14:47,36.6864,52.5225,287.82,50,10,0.93
134,Baculin,PH,2021-12-05 21:14:47,7.4525,126.5842,298.54,81,99,4.2
135,Bowen,AU,2021-12-05 21:14:47,-20.0167,148.2333,300.6,62,19,7.09
136,Tabuk,PH,2021-12-05 21:14:47,17.4189,121.4443,291.89,92,96,1.04
137,Yenagoa,NG,2021-12-05 21:14:48,4.9247,6.2642,298.91,88,100,2.17
138,Savalou,BJ,2021-12-05 21:14:48,7.9281,1.9756,302.63,19,88,0.95
139,San Cristobal,VE,2021-12-05 21:14:48,7.7669,-72.225,299.25,47,76,2.29
140,Auki,SB,2021-12-05 21:14:49,-8.7676,160.7034,300.33,84,96,3.73
141,Kawalu,ID,2021-12-05 21:14:49,-7.3817,108.2082,296.21,92,100,0.75
142,Bo Phloi,TH,2021-12-05 21:14:49,14.3236,99.5161,289.12,67,99,1.76
143,Tabriz,IR,2021-12-05 21:11:44,38.08,46.2919,274.85,75,75,2.06
144,Kavieng,PG,2021-12-05 21:14:49,-2.5744,150.7967,301.19,80,95,3.19
145,Lgov,RU,2021-12-05 21:14:50,51.6307,35.2775,271.25,70,100,2.69
146,Ono,JP,2021-12-05 21:14:50,34.85,134.9333,282.67,66,95,1.12
147,Bondowoso,ID,2021-12-05 21:14:50,-7.9135,113.8214,296.44,93,100,2.61
148,Iqaluit,CA,2021-12-05 21:14:51,63.7506,-68.5145,261.0,66,90,8.05
149,Airai,TL,2021-12-05 21:11:44,-8.9266,125.4092,289.35,93,100,0.15
150,Broken Hill,AU,2021-12-05 21:14:51,-31.95,141.4333,295.77,22,58,4.55
151,Nishihara,JP,2021-12-05 21:14:51,26.1842,127.7558,292.75,65,40,5.14
152,Severo-Kurilsk,RU,2021-12-05 21:14:51,50.6789,156.125,272.87,72,94,8.79
153,Kulhudhuffushi,MV,2021-12-05 21:14:52,6.6221,73.07,300.18,77,50,3.46
154,Aviles,ES,2021-12-05 21:13:53,43.5547,-5.9248,284.69,87,75,3.58
155,Saint-Leu,RE,2021-12-05 21:14:52,-21.15,55.2833,297.61,79,27,1.77
156,Jamestown,US,2021-12-05 21:13:22,42.097,-79.2353,279.43,49,90,4.47
157,Kapaa,US,2021-12-05 21:14:52,22.0752,-159.319,299.33,72,1,1.79
158,Birigui,BR,2021-12-05 21:14:53,-21.2886,-50.34,301.75,58,62,3.11
159,Carnarvon,AU,2021-12-05 21:14:53,-24.8667,113.6333,296.19,73,0,7.72
160,Cachoeiras De Macacu,BR,2021-12-05 21:14:53,-22.4625,-42.6531,298.86,95,76,1.15
161,Hithadhoo,MV,2021-12-05 21:14:53,-0.6,73.0833,300.43,79,100,6.12
162,Ajdabiya,LY,2021-12-05 21:14:54,30.7554,20.2263,288.36,46,0,4.46
163,Sisimiut,GL,2021-12-05 21:14:54,66.9395,-53.6735,270.42,71,100,9.04
164,Sorland,NO,2021-12-05 21:14:54,67.667,12.6934,269.19,69,96,4.42
165,Rovaniemi,FI,2021-12-05 21:14:54,66.5,25.7167,249.82,84,90,2.57
166,Pyatnitskoye,RU,2021-12-05 21:14:55,50.4233,37.8273,271.55,69,100,2.51
167,Esperance,AU,2021-12-05 21:14:55,-33.8667,121.9,289.67,73,79,5.66
168,Itoman,JP,2021-12-05 21:14:55,26.1247,127.6694,293.16,62,20,3.6
169,Souillac,MU,2021-12-05 21:14:56,-20.5167,57.5167,298.91,78,40,3.6
170,Atasu,KZ,2021-12-05 21:14:56,48.6814,71.6433,273.48,95,100,2.3
171,Bac,RS,2021-12-05 21:14:56,45.3919,19.2367,278.11,97,100,2.26
172,Wormeldange,LU,2021-12-05 21:14:56,49.6083,6.4058,277.23,100,75,1.54
173,Lufilufi,WS,2021-12-05 21:14:57,-13.8745,-171.5986,303.03,76,23,3.25
174,Ancud,CL,2021-12-05 21:11:48,-41.8697,-73.8203,297.89,61,40,3.14
175,Odesskoye,RU,2021-12-05 21:14:57,54.2111,72.9651,266.65,90,72,3.48
176,Calama,CL,2021-12-05 21:14:07,-22.4667,-68.9333,298.42,12,20,14.4
177,Luneburg,DE,2021-12-05 21:14:57,53.25,10.4,274.63,96,100,2.72
178,Ambilobe,MG,2021-12-05 21:14:57,-13.2,49.05,297.89,70,3,1.97
179,Murdochville,CA,2021-12-05 21:14:58,48.9583,-65.5006,262.64,75,98,4.16
180,Te Anau,NZ,2021-12-05 21:14:58,-45.4167,167.7167,282.32,72,70,2.45
181,Saint-Augustin,CA,2021-12-05 21:14:58,51.226,-58.6502,268.02,60,100,3.15
182,Aksarka,RU,2021-12-05 21:14:58,66.5606,67.7975,244.76,94,27,6.28
183,Lasa,IT,2021-12-05 21:14:59,46.6166,10.7002,271.64,93,97,2.3
184,Nicoya,CR,2021-12-05 21:14:59,10.1483,-85.452,302.9,67,43,4.24
185,Sovetskiy,RU,2021-12-05 21:14:59,61.3614,63.5842,253.03,97,98,1.44
186,Sioux Lookout,CA,2021-12-05 21:15:00,50.1001,-91.917,267.36,86,90,1.54
187,Albufeira,PT,2021-12-05 21:15:00,37.0882,-8.2503,286.06,70,0,4.94
188,Ponta Delgada,PT,2021-12-05 21:15:00,37.7333,-25.6667,291.21,63,75,2.57
189,Fuxin,CN,2021-12-05 21:15:00,42.0156,121.6589,272.04,71,100,3.46
190,Castro,BR,2021-12-05 21:15:01,-24.7911,-50.0119,291.8,84,94,1.2
191,Mlonggo,ID,2021-12-05 21:15:01,-6.5333,110.7,298.09,81,100,5.87
