City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Korla,CN,2021-12-05 21:15:01,41.7597,86.1469,271.95,47,100,1.02
193,Sonqor,IR,2021-12-05 21:15:02,34.7837,47.6004,277.6,32,1,0.89
194,Sabha,LY,2021-12-05 21:15:02,27.0377,14.4283,284.8,29,1,3.51
195,Kodiak,US,2021-12-05 21:15:02,57.79,-152.4072,271.88,93,90,2.57
196,Dikson,RU,2021-12-05 21:15:02,73.5069,80.5464,255.02,94,100,3.95
197,Abha,SA,2021-12-05 21:15:03,18.2164,42.5053,286.05,71,0,0.0
198,Santa Cruz De La Palma,ES,2021-12-05 21:15:03,28.6835,-17.7642,293.23,60,75,5.14
199,Sao Joao Da Barra,BR,2021-12-05 21:15:03,-21.6403,-41.0511,299.2,82,7,6.43
200,Cherskiy,RU,2021-12-05 21:15:04,68.75,161.3,229.06,100,84,2.16
201,Zheleznodorozhnyy,RU,2021-12-05 21:15:04,55.7503,38.0042,271.27,98,95,1.15
202,Verkhnevilyuysk,RU,2021-12-05 21:15:04,63.4453,120.3167,240.8,90,30,3.14
203,Matagami,CA,2021-12-05 21:15:04,49.7502,-77.6328,260.21,78,90,3.09
204,Shakhtinsk,KZ,2021-12-05 21:15:05,49.71,72.5872,272.46,94,100,3.0
205,Taoudenni,ML,2021-12-05 21:15:05,22.6783,-3.9836,291.02,19,100,4.44
206,Nageshwari,BD,2021-12-05 21:15:05,25.9377,89.7148,294.18,75,100,1.1
207,Alta Gracia,AR,2021-12-05 21:15:06,-31.6529,-64.4283,294.58,59,100,0.82
208,Darnah,LY,2021-12-05 21:15:06,32.767,22.6367,289.89,67,6,4.05
209,Thinadhoo,MV,2021-12-05 21:15:06,0.5333,72.9333,300.85,80,100,8.34
210,Kanel,SN,2021-12-05 21:15:06,15.4916,-13.1763,302.45,12,100,4.92
211,Faanui,PF,2021-12-05 21:15:07,-16.4833,-151.75,300.59,67,35,8.35
212,Haines Junction,CA,2021-12-05 21:15:07,60.7522,-137.5108,254.07,98,100,0.68
213,Yar-Sale,RU,2021-12-05 21:15:07,66.8333,70.8333,246.3,93,15,6.53
214,Santa Cruz,BO,2021-12-05 21:10:32,-17.8,-63.1667,300.85,65,75,6.17
215,Victor Harbor,AU,2021-12-05 21:15:07,-35.5667,138.6167,292.99,93,64,0.06
216,Vila Velha,BR,2021-12-05 21:15:08,-20.3297,-40.2925,299.12,85,75,3.58
217,Touros,BR,2021-12-05 21:15:08,-5.1989,-35.4608,301.65,78,84,6.9
218,Kautokeino,NO,2021-12-05 21:15:08,69.0125,23.0412,241.82,100,99,2.03
219,Dabakala,CI,2021-12-05 21:15:08,8.3667,-4.4333,300.83,26,28,1.03
220,Mardin,TR,2021-12-05 21:15:09,37.3131,40.7436,277.21,38,49,1.81
221,Lyuban,BY,2021-12-05 21:15:09,52.7985,28.0048,271.74,86,100,2.19
222,Kuytun,RU,2021-12-05 21:15:09,54.3419,101.5036,260.95,93,92,2.34
223,Tasiilaq,GL,2021-12-05 21:15:09,65.6145,-37.6368,272.12,92,98,13.27
224,Adrar,MR,2021-12-05 21:15:10,20.5022,-10.0711,290.71,12,100,4.61
225,Keuruu,FI,2021-12-05 21:15:10,62.2667,24.7,254.12,94,14,2.08
226,Arman,RU,2021-12-05 21:15:10,59.7,150.1667,246.94,94,32,3.0
227,Provideniya,RU,2021-12-05 21:13:02,64.3833,-173.3,272.24,100,90,11.0
228,Cayambe,EC,2021-12-05 21:15:11,0.05,-78.1333,288.74,68,99,0.58
229,Manaia,NZ,2021-12-05 21:15:11,-39.55,174.1333,292.48,86,100,4.91
230,Lamar,US,2021-12-05 21:15:11,33.6668,-95.5836,297.24,69,75,8.23
231,Imola,IT,2021-12-05 21:15:11,44.3523,11.7158,277.81,88,67,1.09
232,Faya,SA,2021-12-05 21:15:12,18.3851,42.4509,286.21,70,0,1.03
233,Chokurdakh,RU,2021-12-05 21:15:12,70.6333,147.9167,232.13,100,60,2.66
234,Ginir,ET,2021-12-05 21:10:15,7.1333,40.7,285.88,40,12,2.69
235,Ko Samui,TH,2021-12-05 21:15:12,9.5357,99.9357,299.06,67,84,6.06
236,Cururupu,BR,2021-12-05 21:15:13,-1.8283,-44.8683,299.72,79,24,2.23
237,Mastic Beach,US,2021-12-05 21:15:13,40.7668,-72.8521,281.81,53,1,0.89
238,Boden,SE,2021-12-05 21:15:13,65.8252,21.6886,253.15,100,66,1.07
239,Castelldefels,ES,2021-12-05 21:15:13,41.2779,1.9703,283.18,52,0,4.47
240,Bukoba,TZ,2021-12-05 21:15:14,-1.3317,31.8122,293.22,72,72,1.71
241,Hanzhong,CN,2021-12-05 21:15:14,33.0728,107.0303,279.65,66,0,0.51
242,Ambon,ID,2021-12-05 21:15:14,-3.6954,128.1814,298.23,88,75,3.09
243,Nuuk,GL,2021-12-05 21:15:14,64.1835,-51.7216,270.49,74,75,9.26
244,Ekhabi,RU,2021-12-05 21:15:15,53.5102,142.9671,259.39,94,86,2.79
245,Severnyy,RU,2021-12-05 21:15:15,50.677,36.5532,268.17,100,75,1.0
246,Vanavara,RU,2021-12-05 21:15:15,60.34,102.2797,256.94,97,100,1.16
247,Mount Isa,AU,2021-12-05 21:10:52,-20.7333,139.5,297.02,69,99,5.66
248,Kaset Sombun,TH,2021-12-05 21:15:16,16.2805,101.9542,287.74,63,85,1.28
249,Altay,CN,2021-12-05 21:15:16,47.8667,88.1167,273.44,59,100,2.62
250,Havre-Saint-Pierre,CA,2021-12-05 21:15:16,50.2334,-63.5986,269.15,58,1,7.2
251,Guasdualito,VE,2021-12-05 21:15:16,7.2424,-70.7324,305.15,58,89,2.06
252,Hyeres,FR,2021-12-05 21:15:17,43.1167,6.1167,282.01,44,0,10.29
253,Manokwari,ID,2021-12-05 21:15:17,-0.8667,134.0833,298.93,81,100,2.07
254,Mozelos,PT,2021-12-05 21:15:17,41.8677,-8.3978,283.94,97,78,1.23
255,Jinchang,CN,2021-12-05 21:15:17,38.4953,102.1739,271.5,41,52,2.84
256,Khatanga,RU,2021-12-05 21:15:18,71.9667,102.5,246.14,96,100,4.27
257,Comodoro Rivadavia,AR,2021-12-05 21:12:37,-45.8667,-67.5,294.07,37,20,10.8
258,Portland,US,2021-12-05 21:08:48,45.5234,-122.6762,281.9,82,75,0.45
259,Ribeirao Branco,BR,2021-12-05 21:15:18,-24.2208,-48.7656,292.98,76,100,1.73
260,San Jose,US,2021-12-05 21:13:21,37.3394,-121.895,294.58,63,40,2.06
261,Gusau,NG,2021-12-05 21:15:18,12.1628,6.6614,297.65,23,25,3.7
262,Gat,IL,2021-12-05 21:15:19,31.61,34.7642,289.48,100,4,3.04
263,Kieta,PG,2021-12-05 21:15:19,-6.2167,155.6333,300.31,81,100,1.08
264,Gigmoto,PH,2021-12-05 21:15:19,13.7796,124.39,297.73,82,100,5.86
265,Karimganj,IN,2021-12-05 21:15:19,24.8667,92.35,293.67,86,100,1.17
266,Svodna,BA,2021-12-05 21:15:20,45.0372,16.5383,277.05,96,100,1.03
267,Saint Helens,GB,2021-12-05 21:15:20,53.45,-2.7333,279.01,88,40,2.06
268,Servia,GR,2021-12-05 21:15:20,40.1797,21.9944,281.7,81,44,1.54
269,San Patricio,US,2021-12-05 21:15:20,28.017,-97.5169,302.2,65,100,7.39
270,Port Shepstone,ZA,2021-12-05 21:15:21,-30.7414,30.455,296.31,92,100,2.16
271,Porto Walter,BR,2021-12-05 21:11:15,-8.2686,-72.7439,296.76,97,100,1.19
272,Meulaboh,ID,2021-12-05 21:15:21,4.1363,96.1285,297.65,87,96,1.72
273,Turukhansk,RU,2021-12-05 21:15:21,65.8167,87.9833,234.48,100,20,1.98
274,Staroutkinsk,RU,2021-12-05 21:15:22,57.2302,59.3348,267.07,94,100,3.18
275,Tezu,IN,2021-12-05 21:15:22,27.9167,96.1667,291.7,59,100,1.34
276,Ondangwa,NA,2021-12-05 21:15:22,-17.9167,15.95,301.08,35,59,2.87
277,Timra,SE,2021-12-05 21:15:22,62.487,17.3257,263.53,75,90,4.12
278,Jining,CN,2021-12-05 21:15:23,35.405,116.5814,277.5,57,38,2.65
279,Vanimo,PG,2021-12-05 21:15:23,-2.6741,141.3028,299.55,82,94,3.03
280,Shache,CN,2021-12-05 21:15:23,38.4167,77.2406,271.58,34,100,0.75
281,Saint-Pierre,RE,2021-12-05 21:15:24,-21.3393,55.4781,297.95,77,0,2.06
282,The Valley,AI,2021-12-05 21:13:27,18.217,-63.0578,301.23,61,20,6.17
283,Ahipara,NZ,2021-12-05 21:15:24,-35.1667,173.1667,295.53,74,51,4.4
284,Camacha,PT,2021-12-05 21:15:21,33.0833,-16.3333,290.57,63,40,5.66
285,Pavlodar,KZ,2021-12-05 21:14:47,52.3,76.95,267.04,93,0,3.0
286,Andreapol,RU,2021-12-05 21:15:24,56.6513,32.2664,264.46,94,99,2.89
287,Sur,OM,2021-12-05 21:15:25,22.5667,59.5289,296.05,71,0,2.47
288,Pringsewu,ID,2021-12-05 21:15:25,-5.3582,104.9744,295.62,97,100,0.31
289,Wamba,NG,2021-12-05 21:15:25,8.9333,8.6,299.57,28,85,1.97
290,Grand Gaube,MU,2021-12-05 21:15:25,-20.0064,57.6608,298.92,67,8,2.24
291,Sheridan,US,2021-12-05 21:15:26,44.8333,-106.9173,270.25,67,90,2.24
292,Lebu,CL,2021-12-05 21:15:26,-37.6167,-73.65,291.06,66,0,6.15
293,Kavaratti,IN,2021-12-05 21:15:26,10.5669,72.642,300.29,73,47,5.14
294,Garoua,CM,2021-12-05 21:15:27,9.3,13.4,301.77,22,79,1.99
295,Fayaoue,NC,2021-12-05 21:15:27,-20.65,166.5333,300.36,69,38,3.19
296,North Bend,US,2021-12-05 21:15:27,43.4065,-124.2243,285.46,86,1,2.06
297,Wangaratta,AU,2021-12-05 21:15:27,-36.3667,146.3333,290.87,65,72,2.06
298,Lorengau,PG,2021-12-05 21:15:28,-2.0226,147.2712,302.02,79,55,6.92
299,Nelson Bay,AU,2021-12-05 21:15:28,-32.7167,152.15,293.77,66,100,0.45
300,Tuatapere,NZ,2021-12-05 21:10:33,-46.1333,167.6833,284.72,63,97,2.58
301,Luanda,AO,2021-12-05 21:15:09,-8.8368,13.2343,298.98,84,81,4.37
302,Rocha,UY,2021-12-05 21:15:28,-34.4833,-54.3333,291.24,93,91,3.65
303,Tervel,BG,2021-12-05 21:15:29,43.75,27.4,282.72,94,38,5.05
304,Fortuna,US,2021-12-05 21:15:29,40.5982,-124.1573,286.11,94,90,0.89
305,Rundu,NA,2021-12-05 21:15:29,-17.9333,19.7667,293.71,77,97,4.1
306,Tura,IN,2021-12-05 21:15:29,25.5198,90.2201,291.81,83,100,0.38
307,Hambantota,LK,2021-12-05 21:15:30,6.1241,81.1185,298.22,89,9,2.79
308,Bograd,RU,2021-12-05 21:15:30,54.2344,90.8328,261.01,90,90,1.56
309,Kyra,RU,2021-12-05 21:15:30,49.5776,111.9753,260.36,90,18,1.22
310,Tecpan,GT,2021-12-05 21:15:31,14.7623,-90.9947,295.57,51,17,2.81
311,Richards Bay,ZA,2021-12-05 21:15:31,-28.783,32.0377,298.08,78,93,7.19
312,Boddam,GB,2021-12-05 21:15:31,57.4667,-1.7833,274.88,68,23,3.1
313,Hami,CN,2021-12-05 21:15:31,42.8,93.45,272.6,47,99,2.37
314,Kirakira,SB,2021-12-05 21:15:32,-10.4544,161.9205,300.82,83,99,2.81
315,Luau,AO,2021-12-05 21:15:25,-10.7073,22.2247,291.78,88,47,1.02
316,Roald,NO,2021-12-05 21:15:32,62.5833,6.1333,275.56,69,40,7.2
317,Albanel,CA,2021-12-05 21:15:32,48.8832,-72.4487,261.23,66,99,2.06
318,San Juan,AR,2021-12-05 21:15:32,-31.5375,-68.5364,303.18,31,5,4.48
319,Cizre,TR,2021-12-05 21:15:33,37.3272,42.1903,284.99,32,84,0.52
320,Key Largo,US,2021-12-05 21:15:33,25.0865,-80.4473,300.38,61,51,3.0
321,Laguna,US,2021-12-05 21:15:33,38.421,-121.4238,295.73,82,90,0.0
322,Coquimbo,CL,2021-12-05 21:15:34,-29.9533,-71.3436,290.0,77,40,5.14
323,Pilar,BR,2021-12-05 21:15:34,-9.5972,-35.9567,297.11,86,66,3.24
324,Ararat,AM,2021-12-05 21:15:34,39.8317,44.7049,270.34,41,94,2.32
325,Qui Nhon,VN,2021-12-05 21:15:29,13.7667,109.2333,293.76,93,100,5.04
326,Esperantinopolis,BR,2021-12-05 21:15:34,-4.8667,-44.7083,299.52,83,48,0.67
327,Tilichiki,RU,2021-12-05 21:15:35,60.4667,166.1,254.42,97,93,1.44
328,Walvis Bay,NA,2021-12-05 21:15:35,-22.9575,14.5053,290.68,63,0,3.09
329,Soyo,AO,2021-12-05 21:15:35,-6.1349,12.3689,299.4,85,94,3.35
330,Chernyshevskiy,RU,2021-12-05 21:15:36,63.0128,112.4714,234.86,100,22,1.38
331,Kumanovo,MK,2021-12-05 21:15:36,42.1322,21.7144,282.14,89,66,3.5
332,Norman Wells,CA,2021-12-05 21:15:36,65.282,-126.8329,248.58,80,54,2.18
333,Andros Town,BS,2021-12-05 21:15:14,24.7,-77.7667,300.13,74,9,4.48
334,Aksu,CN,2021-12-05 21:15:36,41.1231,80.2644,271.77,47,100,1.28
335,Los Llanos De Aridane,ES,2021-12-05 21:15:37,28.6585,-17.9182,291.01,73,75,7.6
336,Bacolod,PH,2021-12-05 21:15:37,10.6667,122.95,297.19,85,83,4.77
337,Buga,CO,2021-12-05 21:15:37,3.9009,-76.2978,300.99,81,100,1.1
338,Pangkalanbuun,ID,2021-12-05 21:15:37,-2.6833,111.6167,296.38,98,100,1.19
339,Yhu,PY,2021-12-05 21:15:38,-25.05,-55.9167,305.64,39,27,2.76
340,Lavrentiya,RU,2021-12-05 21:15:38,65.5833,-171.0,271.95,98,100,4.36
341,Sibolga,ID,2021-12-05 21:11:50,1.7427,98.7792,297.11,88,94,1.75
342,Jabinyanah,TN,2021-12-05 21:15:38,35.035,10.9081,284.04,62,5,6.96
343,Tukrah,LY,2021-12-05 21:15:39,32.5341,20.5791,291.01,67,55,6.93
344,Manavalakurichi,IN,2021-12-05 21:15:39,8.1333,77.3,299.2,87,76,3.81
345,Lumphat,KH,2021-12-05 21:15:39,13.4878,106.9816,290.73,93,88,1.68
346,George Town,MY,2021-12-05 21:15:11,5.4112,100.3354,298.65,79,20,2.57
347,Takoradi,GH,2021-12-05 21:15:40,4.8845,-1.7554,300.35,83,67,4.76
348,Belmonte,BR,2021-12-05 21:15:40,-15.8631,-38.8828,299.43,81,0,2.57
349,Sompeta,IN,2021-12-05 21:15:40,18.9333,84.6,296.39,89,100,1.6
350,Tank,PK,2021-12-05 21:15:41,32.2217,70.3793,288.25,47,6,1.13
351,Umm Lajj,SA,2021-12-05 21:15:41,25.0213,37.2685,297.51,75,9,4.65
352,Broome,US,2021-12-05 21:15:41,42.2506,-75.833,278.8,58,20,0.89
353,Redmond,US,2021-12-05 21:15:41,47.674,-122.1215,280.11,88,96,0.45
354,Vredendal,ZA,2021-12-05 21:15:42,-31.6683,18.5012,290.81,79,25,3.72
355,Kloulklubed,PW,2021-12-05 21:15:42,7.0419,134.2556,297.43,76,100,4.2
356,Impfondo,CG,2021-12-05 21:15:42,1.6381,18.0667,295.89,92,99,0.76
357,High Level,CA,2021-12-05 21:15:42,58.5169,-117.136,246.21,83,1,0.0
358,Galdar,ES,2021-12-05 21:15:43,28.147,-15.6502,291.43,73,34,8.06
359,Nauta,PE,2021-12-05 21:15:43,-4.5061,-73.5757,298.51,95,92,1.62
360,Kendari,ID,2021-12-05 21:15:44,-3.945,122.4989,297.0,94,100,0.28
361,Srednekolymsk,RU,2021-12-05 21:15:44,67.45,153.6833,228.22,100,71,2.14
362,Suntar,RU,2021-12-05 21:15:44,62.1444,117.6319,244.2,96,72,2.14
363,Ossora,RU,2021-12-05 21:15:44,59.2353,163.0719,262.16,80,95,4.24
364,Artyom,AZ,2021-12-05 21:15:45,40.4723,50.333,281.23,72,100,5.98
365,Altamira,BR,2021-12-05 21:15:45,-3.2033,-52.2064,304.2,70,40,1.03
366,Okhotsk,RU,2021-12-05 21:15:45,59.3833,143.3,247.73,88,19,4.13
367,De-Kastri,RU,2021-12-05 21:15:46,51.4667,140.7833,262.87,85,95,2.11
368,Yuanping,CN,2021-12-05 21:15:46,38.7153,112.7575,273.63,41,0,2.59
369,Torbay,CA,2021-12-05 21:15:46,47.6666,-52.7314,274.41,68,75,4.12
370,Narsaq,GL,2021-12-05 21:15:47,60.9167,-46.05,270.27,90,100,7.25
371,Russell,US,2021-12-05 21:15:47,32.3502,-85.1999,295.93,57,1,0.0
372,Saint-Louis,SN,2021-12-05 21:11:30,16.3333,-15.0,302.89,11,100,4.26
373,Upernavik,GL,2021-12-05 21:15:48,72.7868,-56.1549,270.67,72,100,0.95
374,Atikokan,CA,2021-12-05 21:15:48,48.7555,-91.6216,268.41,93,100,4.57
375,Ostrovnoy,RU,2021-12-05 21:15:48,68.0531,39.5131,260.01,74,85,9.6
376,Batemans Bay,AU,2021-12-05 21:15:49,-35.7167,150.1833,291.04,62,99,1.36
377,Shimoda,JP,2021-12-05 21:15:49,34.6667,138.95,282.1,83,100,6.79
378,Inhambane,MZ,2021-12-05 21:15:49,-23.865,35.3833,299.01,80,0,6.29
379,Beringovskiy,RU,2021-12-05 21:12:59,63.05,179.3167,259.51,81,100,17.24
380,Aklavik,CA,2021-12-05 21:15:50,68.2191,-135.0107,249.61,84,3,3.44
381,Parakai,NZ,2021-12-05 21:15:50,-36.65,174.4333,296.53,61,54,3.28
382,Bandarbeyla,SO,2021-12-05 21:15:50,9.4942,50.8122,298.12,63,5,8.01
383,Lata,PT,2021-12-05 21:15:50,40.1629,-8.3327,285.27,93,44,1.68
384,Ledyard,US,2021-12-05 21:15:51,41.4398,-72.0142,279.88,49,1,2.57
